Lookup (for Uploader),Trade,Precon System,Operations System,Title,Drawing Abbreviation,Precon Tag,System Type ID,Asset Category,Equip Name ID,Sub System Type,Sub System ID,Sub System Class,Class ID,Equipment Size,Unit,Asset ID,Notes,Service ID,Service Life
AccessoryPressure Reducing ValveSteam6,PF,Steam Boiler Plant,Steam,Pressure Reducing Valve,PRV,PRV,H,Accessory,ACC,Pressure Reducing Valve,PRV,Steam,STM,6.0,INCHES,H-ACC-PRV-STM-6,,HACCPRVSTM,20
AccessoryPumpFuel Oil Transfer10,PF,Fuel Oil Piping and Equipment,Fuel Oil,Transfer Pump,nan,Other,H,Accessory,ACC,Pump,PMP,Fuel Oil Transfer,OIL,10.0,HP,H-ACC-PMP-OIL-10,,HACCPMPOIL,15
AccessoryPumpFuel Oil Transfer2,PF,Fuel Oil Piping and Equipment,Fuel Oil,Transfer Pump,nan,Other,H,Accessory,ACC,Pump,PMP,Fuel Oil Transfer,OIL,2.0,HP,H-ACC-PMP-OIL-2,,HACCPMPOIL,15
AccessoryRemote ChillerDomestic Water10,PL,Domestic Water Plant,Domestic Water,Domestic Drinking Water Remote Chiller,nan,Other,P,Accessory,ACC,Remote Chiller,RMT,Domestic Water,DW,10.0,GAL,P-ACC-RMT-DW-10,,nan,20
AccessoryRemote ChillerDomestic Water100,PL,Domestic Water Plant,Domestic Water,Domestic Drinking Water Remote Chiller,nan,Other,P,Accessory,ACC,Remote Chiller,RMT,Domestic Water,DW,100.0,GAL,P-ACC-RMT-DW-100,,nan,20
AccessoryRemote ChillerDomestic Water200,PL,Domestic Water Plant,Domestic Water,Domestic Drinking Water Remote Chiller,nan,Other,P,Accessory,ACC,Remote Chiller,RMT,Domestic Water,DW,200.0,GAL,P-ACC-RMT-DW-200,,nan,20
AccessoryRemote ChillerDomestic Water300,PL,Domestic Water Plant,Domestic Water,Domestic Drinking Water Remote Chiller,nan,Other,P,Accessory,ACC,Remote Chiller,RMT,Domestic Water,DW,300.0,GAL,P-ACC-RMT-DW-300,,nan,20
AccessoryRemote ChillerDomestic Water50,PL,Domestic Water Plant,Domestic Water,Domestic Drinking Water Remote Chiller,nan,Other,P,Accessory,ACC,Remote Chiller,RMT,Domestic Water,DW,50.0,GAL,P-ACC-RMT-DW-50,,nan,20
AccessoryRemote ChillerDomestic Water500,PL,Domestic Water Plant,Domestic Water,Domestic Drinking Water Remote Chiller,nan,Other,P,Accessory,ACC,Remote Chiller,RMT,Domestic Water,DW,500.0,GAL,P-ACC-RMT-DW-500,,nan,20
AccessoryRoof HoodAll12,SM,SM Equipment,SM Accessories,Roof Hood,RH,RH,H,Accessory,ACC,Roof Hood,RH,All,nan,12.0,INCHES,H-ACC-RH--12,,nan,25
AccessoryRoof HoodAll24,SM,SM Equipment,SM Accessories,Roof Hood,RH,RH,H,Accessory,ACC,Roof Hood,RH,All,nan,24.0,INCHES,H-ACC-RH--24,,nan,25
AccessoryRoof HoodAll36,SM,SM Equipment,SM Accessories,Roof Hood,RH,RH,H,Accessory,ACC,Roof Hood,RH,All,nan,36.0,INCHES,H-ACC-RH--36,,nan,25
AccessoryRoof HoodAll48,SM,SM Equipment,SM Accessories,Roof Hood,RH,RH,H,Accessory,ACC,Roof Hood,RH,All,nan,48.0,INCHES,H-ACC-RH--48,,nan,25
AccessorySound AttenuatorAll12,SM,SM Accessories,SM Accessories,Sound Attenuator,Sound,SATT,H,Accessory,ACC,Sound Attenuator,SATT,All,nan,12.0,INCHES,H-ACC-SATT--12,,nan,25
AccessorySound AttenuatorAll16,SM,SM Accessories,SM Accessories,Sound Attenuator,Sound,SATT,H,Accessory,ACC,Sound Attenuator,SATT,All,nan,16.0,INCHES,H-ACC-SATT--16,,nan,25
AccessorySound AttenuatorAll24,SM,SM Accessories,SM Accessories,Sound Attenuator,Sound,SATT,H,Accessory,ACC,Sound Attenuator,SATT,All,nan,24.0,INCHES,H-ACC-SATT--24,,nan,25
AccessorySound AttenuatorAll36,SM,SM Accessories,SM Accessories,Sound Attenuator,Sound,SATT,H,Accessory,ACC,Sound Attenuator,SATT,All,nan,36.0,INCHES,H-ACC-SATT--36,,nan,25
AccessorySound AttenuatorAll48,SM,SM Accessories,SM Accessories,Sound Attenuator,Sound,SATT,H,Accessory,ACC,Sound Attenuator,SATT,All,nan,48.0,INCHES,H-ACC-SATT--48,,nan,25
AccessorySound AttenuatorAll60,SM,SM Accessories,SM Accessories,Sound Attenuator,Sound,SATT,H,Accessory,ACC,Sound Attenuator,SATT,All,nan,60.0,INCHES,H-ACC-SATT--60,,nan,25
AccessorySound BootAll12,SM,SM Accessories,SM Accessories,Sound Boot,Sound,GRD-Sound,H,Accessory,ACC,Sound Boot,SBT,All,nan,12.0,INCHES,H-ACC-SBT--12,,nan,25
AccessorySound BootAll16,SM,SM Accessories,SM Accessories,Sound Boot,Sound,GRD-Sound,H,Accessory,ACC,Sound Boot,SBT,All,nan,16.0,INCHES,H-ACC-SBT--16,,nan,25
AccessorySound BootAll24,SM,SM Accessories,SM Accessories,Sound Boot,Sound,GRD-Sound,H,Accessory,ACC,Sound Boot,SBT,All,nan,24.0,INCHES,H-ACC-SBT--24,,nan,25
AccessorySound BootAll8,SM,SM Accessories,SM Accessories,Sound Boot,Sound,GRD-Sound,H,Accessory,ACC,Sound Boot,SBT,All,nan,8.0,INCHES,H-ACC-SBT--8,,nan,25
AccessoryTrapGuard2,PL,Sanitary Equipment,Sanitary Waste,Trap Guard,nan,Other,P,Accessory,ACC,Trap,TRAP,Guard,GRD,2.0,INCHES,P-ACC-TRAP-GRD-2,,nan,20
AccessoryTrapGuard4,PL,Sanitary Equipment,Sanitary Waste,Trap Guard,nan,Other,P,Accessory,ACC,Trap,TRAP,Guard,GRD,4.0,INCHES,P-ACC-TRAP-GRD-4,,nan,20
AccessoryTrapPrimer2,PL,Sanitary Equipment,Sanitary Waste,Trap Primer,nan,Other,P,Accessory,ACC,Trap,TRAP,Primer,PMR,2.0,INCHES,P-ACC-TRAP-PMR-2,,nan,20
AccessoryTrapPrimer4,PL,Sanitary Equipment,Sanitary Waste,Trap Primer,nan,Other,P,Accessory,ACC,Trap,TRAP,Primer,PMR,4.0,INCHES,P-ACC-TRAP-PMR-4,,nan,20
AccessoryTrapSpecialty2,PL,Sanitary Equipment,Sanitary Waste,Specialty Trap,nan,Other,P,Accessory,ACC,Trap,TRAP,Specialty,SP,2.0,GAL,P-ACC-TRAP-SP-2,,nan,10
AccessoryTrapSpecialty4,PL,Sanitary Equipment,Sanitary Waste,Specialty Trap,nan,Other,P,Accessory,ACC,Trap,TRAP,Specialty,SP,4.0,GAL,P-ACC-TRAP-SP-4,,nan,10
AccessoryTrapSteam1,PF,Steam Boiler Plant,Steam,Steam Trap,ST,ST,H,Accessory,ACC,Trap,TRAP,Steam,STM,1.0,INCHES,H-ACC-TRAP-STM-1,,nan,10
AccessoryTrapSteam2,PF,Steam Boiler Plant,Steam,Steam Trap,ST,ST,H,Accessory,ACC,Trap,TRAP,Steam,STM,2.0,INCHES,H-ACC-TRAP-STM-2,,nan,10
AccessoryTrapSteam4,PF,Steam Boiler Plant,Steam,Steam Trap,ST,ST,H,Accessory,ACC,Trap,TRAP,Steam,STM,4.0,INCHES,H-ACC-TRAP-STM-4,,nan,10
AccessoryTrapSteam6,PF,Steam Boiler Plant,Steam,Steam Trap,ST,ST,H,Accessory,ACC,Trap,TRAP,Steam,STM,6.0,INCHES,H-ACC-TRAP-STM-6,,nan,10
AccessoryVariable Frequency DriveAll10,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,10.0,HP,H-ACC-VFD--10,,HACCVFD,17
AccessoryVariable Frequency DriveAll10,PL,Domestic Water Plant,Domestic Water,Variable Frequency Drive,VFDs,VFD,P,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,10.0,HP,P-ACC-VFD--10,,HACCVFD,17
AccessoryVariable Frequency DriveAll100,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,100.0,HP,H-ACC-VFD--100,,HACCVFD,17
AccessoryVariable Frequency DriveAll15,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,15.0,HP,H-ACC-VFD--15,,HACCVFD,17
AccessoryVariable Frequency DriveAll2,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,2.0,HP,H-ACC-VFD--2,,HACCVFD,17
AccessoryVariable Frequency DriveAll2,PL,Domestic Water Plant,Domestic Water,Variable Frequency Drive,VFDs,VFD,P,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,2.0,HP,P-ACC-VFD--2,,HACCVFD,17
AccessoryVariable Frequency DriveAll20,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,20.0,HP,H-ACC-VFD--20,,HACCVFD,17
AccessoryVariable Frequency DriveAll25,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,25.0,HP,H-ACC-VFD--25,,HACCVFD,17
AccessoryVariable Frequency DriveAll3,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,3.0,HP,H-ACC-VFD--3,,HACCVFD,17
AccessoryVariable Frequency DriveAll30,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,30.0,HP,H-ACC-VFD--30,,HACCVFD,17
AccessoryVariable Frequency DriveAll40,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,40.0,HP,H-ACC-VFD--40,,HACCVFD,17
AccessoryVariable Frequency DriveAll5,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,5.0,HP,H-ACC-VFD--5,,HACCVFD,17
AccessoryVariable Frequency DriveAll5,PL,Domestic Water Plant,Domestic Water,Variable Frequency Drive,VFDs,VFD,P,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,5.0,HP,P-ACC-VFD--5,,HACCVFD,17
AccessoryVariable Frequency DriveAll50,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,50.0,HP,H-ACC-VFD--50,,HACCVFD,17
AccessoryVariable Frequency DriveAll60,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,60.0,HP,H-ACC-VFD--60,,HACCVFD,17
AccessoryVariable Frequency DriveAll7.5,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,7.5,HP,H-ACC-VFD--7.5,,HACCVFD,17
AccessoryVariable Frequency DriveAll7.5,PL,Domestic Water Plant,Domestic Water,Variable Frequency Drive,VFDs,VFD,P,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,7.5,HP,P-ACC-VFD--7.5,,HACCVFD,17
AccessoryVariable Frequency DriveAll75,PF,"Chilled, Condenser, Heating Water","Chilled, Condenser, Heating Water",Variable Frequency Drive,VFDs,VFD,H,Accessory,ACC,Variable Frequency Drive,VFD,All,nan,75.0,HP,H-ACC-VFD--75,,HACCVFD,17
AccessoryWater Treatment ControllerAll2,PF,"Chilled, Condenser, Heating Water, Steam","Chilled, Condenser, Heating Water, Steam",Water Treatment Controller,Water Treatment Controller,Water Treatment Controller,H,Accessory,ACC,Water Treatment Controller,WTC,All,nan,2.0,GPM,H-ACC-WTC--2,,nan,15
AccessoryZone Valve BoxAll1,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Zone Valve Box,ZVB,ZVB,P,Accessory,ACC,Zone Valve Box,ZVB,All,nan,1.0,EA,P-ACC-ZVB--1,,nan,25
Air CompressorAir CooledReceiver100,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Air Cooled,AIR,Receiver,RCV,100.0,HP,P-AC-AIR-RCV-100,,PACAIRRCV,15
Air CompressorAir CooledReceiver15,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Air Cooled,AIR,Receiver,RCV,15.0,HP,P-AC-AIR-RCV-15,,PACAIRRCV,15
Air CompressorAir CooledReceiver250,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Air Cooled,AIR,Receiver,RCV,250.0,HP,P-AC-AIR-RCV-250,,PACAIRRCV,15
Air CompressorAir CooledReceiver5,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Air Cooled,AIR,Receiver,RCV,5.0,HP,P-AC-AIR-RCV-5,,PACAIRRCV,15
Air CompressorAir CooledReceiver50,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Air Cooled,AIR,Receiver,RCV,50.0,HP,P-AC-AIR-RCV-50,,PACAIRRCV,15
Air CompressorAir CooledScrew100,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Air Cooled,AIR,Screw,SCW,100.0,HP,P-AC-AIR-SCW-100,,PACAIRSCW,15
Air CompressorAir CooledScrew15,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Air Cooled,AIR,Screw,SCW,15.0,HP,P-AC-AIR-SCW-15,,PACAIRSCW,15
Air CompressorAir CooledScrew250,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Air Cooled,AIR,Screw,SCW,250.0,HP,P-AC-AIR-SCW-250,,PACAIRSCW,15
Air CompressorAir CooledScrew50,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Air Cooled,AIR,Screw,SCW,50.0,HP,P-AC-AIR-SCW-50,,PACAIRSCW,15
Air CompressorWater CooledCentrifugal1000,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Water Cooled,WTR,Centrifugal,CNT,1000.0,HP,P-AC-WTR-CNT-1000,,PACWTRCNT,15
Air CompressorWater CooledCentrifugal250,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Water Cooled,WTR,Centrifugal,CNT,250.0,HP,P-AC-WTR-CNT-250,,PACWTRCNT,15
Air CompressorWater CooledCentrifugal250,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Water Cooled,WTR,Centrifugal,CNT,250.0,HP,P-AC-WTR-CNT-250,,PACWTRCNT,15
Air CompressorWater CooledCentrifugal3000,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Water Cooled,WTR,Centrifugal,CNT,3000.0,HP,P-AC-WTR-CNT-3000,,PACWTRCNT,15
Air CompressorWater CooledCentrifugal5000,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Water Cooled,WTR,Centrifugal,CNT,5000.0,HP,P-AC-WTR-CNT-5000,,PACWTRCNT,15
Air CompressorWater CooledScrew100,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Water Cooled,WTR,Screw,SCW,100.0,HP,P-AC-WTR-SCW-100,,PACWTRSCW,15
Air CompressorWater CooledScrew150,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Water Cooled,WTR,Screw,SCW,150.0,HP,P-AC-WTR-SCW-150,,PACWTRSCW,15
Air CompressorWater CooledScrew250,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Water Cooled,WTR,Screw,SCW,250.0,HP,P-AC-WTR-SCW-250,,PACWTRSCW,15
Air CompressorWater CooledScrew50,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Compressor,AC,Water Cooled,WTR,Screw,SCW,50.0,HP,P-AC-WTR-SCW-50,,PACWTRSCW,15
Air CurtainElectricAll1000,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Air Curtain,ACT,Electric,ELE,All,nan,1000.0,CFM,H-ACT-ELE--1000,,HACT,10
Air CurtainElectricAll2000,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Air Curtain,ACT,Electric,ELE,All,nan,2000.0,CFM,H-ACT-ELE--2000,,HACT,10
Air CurtainHot WaterAll1000,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Air Curtain,ACT,Hot Water,HW,All,nan,1000.0,CFM,H-ACT-HW--1000,,HACT,10
Air CurtainHot WaterAll2000,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Air Curtain,ACT,Hot Water,HW,All,nan,2000.0,CFM,H-ACT-HW--2000,,HACT,10
Air CurtainHot WaterAll5000,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Air Curtain,ACT,Hot Water,HW,All,nan,5000.0,CFM,H-ACT-HW--5000,,HACT,10
Air CurtainNo HeatAll1000,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Air Curtain,ACT,No Heat,NOH,All,nan,1000.0,CFM,H-ACT-NOH--1000,,HACT,10
Air CurtainNo HeatAll2000,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Air Curtain,ACT,No Heat,NOH,All,nan,2000.0,CFM,H-ACT-NOH--2000,,HACT,10
Air CurtainNo HeatAll5000,SM,Air Handling System Terminal Equipment,Terminal Equipment,Air Curtain,AC,AC,H,Air Curtain,ACT,No Heat,NOH,All,nan,5000.0,CFM,H-ACT-NOH--5000,,HACT,10
Air DryerAir DryerDesiccant10000,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,nan,nan,P,Air Dryer,AC,Air Dryer,AD,Desiccant,DES,10000.0,CFM,P-AC-AD-DES-10000,,PACAAD,15
Air DryerAir DryerDesiccant15000,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,nan,nan,P,Air Dryer,AC,Air Dryer,AD,Desiccant,DES,15000.0,CFM,P-AC-AD-DES-15000,,PACAAD,15
Air DryerAir DryerDesiccant2000,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,nan,nan,P,Air Dryer,AC,Air Dryer,AD,Desiccant,DES,2000.0,CFM,P-AC-AD-DES-2000,,PACAAD,15
Air DryerAir DryerDesiccant5000,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,nan,nan,P,Air Dryer,AC,Air Dryer,AD,Desiccant,DES,5000.0,CFM,P-AC-AD-DES-5000,,PACAAD,15
Air DryerAir DryerRefrigerated100,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,nan,nan,P,Air Dryer,AC,Air Dryer,AD,Refrigerated,REF,100.0,CFM,P-AC-AD-REF-100,,PACAAD,15
Air DryerAir DryerRefrigerated1000,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,nan,nan,P,Air Dryer,AC,Air Dryer,AD,Refrigerated,REF,1000.0,CFM,P-AC-AD-REF-1000,,PACAAD,15
Air DryerAir DryerRefrigerated2000,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,nan,nan,P,Air Dryer,AC,Air Dryer,AD,Refrigerated,REF,2000.0,CFM,P-AC-AD-REF-2000,,PACAAD,15
Air DryerAir DryerRefrigerated500,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Dryer,nan,nan,P,Air Dryer,AC,Air Dryer,AD,Refrigerated,REF,500.0,CFM,P-AC-AD-REF-500,,PACAAD,15
"Air Handling UnitChilled Water, Heating WaterCustom10000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Custom,CST,10000.0,CFM,H-AHU-CHW-CST-10000,,HAHUCHWCST,20
"Air Handling UnitChilled Water, Heating WaterCustom100000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Custom,CST,100000.0,CFM,H-AHU-CHW-CST-100000,,HAHUCHWCST,20
"Air Handling UnitChilled Water, Heating WaterCustom20000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Custom,CST,20000.0,CFM,H-AHU-CHW-CST-20000,,HAHUCHWCST,20
"Air Handling UnitChilled Water, Heating WaterCustom40000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Custom,CST,40000.0,CFM,H-AHU-CHW-CST-40000,,HAHUCHWCST,20
"Air Handling UnitChilled Water, Heating WaterCustom5000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Custom,CST,5000.0,CFM,H-AHU-CHW-CST-5000,,HAHUCHWCST,20
"Air Handling UnitChilled Water, Heating WaterCustom60000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Custom,CST,60000.0,CFM,H-AHU-CHW-CST-60000,,HAHUCHWCST,20
"Air Handling UnitChilled Water, Heating WaterCustom80000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Custom,CST,80000.0,CFM,H-AHU-CHW-CST-80000,,HAHUCHWCST,20
"Air Handling UnitChilled Water, Heating WaterPackaged10000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Packaged,PKG,10000.0,CFM,H-AHU-CHW-PKG-10000,,HAHUCHWPKG,20
"Air Handling UnitChilled Water, Heating WaterPackaged100000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Packaged,PKG,100000.0,CFM,H-AHU-CHW-PKG-100000,,HAHUCHWPKG,20
"Air Handling UnitChilled Water, Heating WaterPackaged20000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Packaged,PKG,20000.0,CFM,H-AHU-CHW-PKG-20000,,HAHUCHWPKG,20
"Air Handling UnitChilled Water, Heating WaterPackaged40000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Packaged,PKG,40000.0,CFM,H-AHU-CHW-PKG-40000,,HAHUCHWPKG,20
"Air Handling UnitChilled Water, Heating WaterPackaged5000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Packaged,PKG,5000.0,CFM,H-AHU-CHW-PKG-5000,,HAHUCHWPKG,20
"Air Handling UnitChilled Water, Heating WaterPackaged60000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Packaged,PKG,60000.0,CFM,H-AHU-CHW-PKG-60000,,HAHUCHWPKG,20
"Air Handling UnitChilled Water, Heating WaterPackaged80000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"Chilled Water, Heating Water",CHW,Packaged,PKG,80000.0,CFM,H-AHU-CHW-PKG-80000,,HAHUCHWPKG,20
"Air Handling UnitDX, Gas-FiredCustom10000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"DX, Gas-Fired",DXG,Custom,CST,10000.0,CFM,H-AHU-DXG-CST-10000,,HAHUDXGCST,20
"Air Handling UnitDX, Gas-FiredCustom100000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"DX, Gas-Fired",DXG,Custom,CST,100000.0,CFM,H-AHU-DXG-CST-100000,,HAHUDXGCST,20
"Air Handling UnitDX, Gas-FiredCustom20000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"DX, Gas-Fired",DXG,Custom,CST,20000.0,CFM,H-AHU-DXG-CST-20000,,HAHUDXGCST,20
"Air Handling UnitDX, Gas-FiredCustom40000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"DX, Gas-Fired",DXG,Custom,CST,40000.0,CFM,H-AHU-DXG-CST-40000,,HAHUDXGCST,20
"Air Handling UnitDX, Gas-FiredCustom5000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"DX, Gas-Fired",DXG,Custom,CST,5000.0,CFM,H-AHU-DXG-CST-5000,,HAHUDXGCST,20
"Air Handling UnitDX, Gas-FiredCustom60000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"DX, Gas-Fired",DXG,Custom,CST,60000.0,CFM,H-AHU-DXG-CST-60000,,HAHUDXGCST,20
"Air Handling UnitDX, Gas-FiredCustom80000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"DX, Gas-Fired",DXG,Custom,CST,80000.0,CFM,H-AHU-DXG-CST-80000,,HAHUDXGCST,20
"Air Handling UnitDX, Gas-FiredPackaged10000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"DX, Gas-Fired",DXG,Packaged,PKG,10000.0,CFM,H-AHU-DXG-PKG-10000,,HAHUDXGPKG,20
"Air Handling UnitDX, Gas-FiredPackaged100000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"DX, Gas-Fired",DXG,Packaged,PKG,100000.0,CFM,H-AHU-DXG-PKG-100000,,HAHUDXGPKG,20
"Air Handling UnitDX, Gas-FiredPackaged20000",SM,Air Handling Units,Air Handling Units,Air Handling Unit,AHU,AHU,H,Air Handling Unit,AHU,"DX, Gas-Fired",DXG,Packaged,PKG,20000.0,CFM,H-AHU-DXG-PKG-20000,,HAHUDXGPKG,20
